Epoch	Averagefailure_rate	Stdfailure_rate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	0.46666667	0.0	1.0368377	2.7494118	7.749425	-3.023443	1.7445419	2.3018968	10.463528	-1.5974013	79.32	95.96362	333.0	0.0	135.93333	241.16287	918.0	0.0	1000.0	1000.0	0.84	0.8	1983.0	0.03966	25001.0	2.49571	0.92026794	4.46708	-1.8960117	2.4816232	0.9628264	4.493194	-2.3696094	1.0329368	2.2061625	27.434294	-2.2571054	0.5789459	0.6931812	31.254917	0.0003730555	0.75754404	3.0516584	56.463375	-15.331859	-6.462894	0.06185836	0.05184581	0.021055942	0.08970373	0.13870694	-4.875209	0.056207262	0.014351632	-8.698782	0.05428021	-0.75754416	37.142555	401.7346	402.88348627090454
2	0.26666668	0.0	4.350105	3.498316	15.4963455	-1.4147688	1.4545746	2.2648473	9.819859	-1.975398	86.0	134.54576	483.0	0.0	48.0	101.45344	471.0	0.0	1000.0	1000.0	2.28	0.73333335	4133.0	0.055106666666666665	50001.0	0.7398145	0.51667494	3.4958138	-1.2130024	0.7398102	0.51668864	3.4930258	-1.2397649	1.6048574	3.0126283	30.454046	-9.561907	0.49911284	1.192332	34.515953	2.9921084e-05	1.9794861	3.7422059	64.80195	-12.549651	-0.01036154	0.00026583546	0.0002624604	0.034072522	0.18199265	5.1269017e-05	-6.208675	0.0020595503	0.00012990681	-3.2331562	0.054115597	-1.9794852	34.503872	396.8107	799.4849393367767
3	0.4	0.0	1.6861091	2.0150306	6.4000936	-1.8788235	0.7697925	1.7836139	6.09096	-2.2145875	47.6	77.803856	278.0	0.0	67.0	124.36452	469.0	0.0	1000.0	1000.0	0.76	0.56666666	5323.0	0.05323	75001.0	-0.08101233	0.43780646	2.2451181	-5.0137067	-0.08101558	0.43782425	2.2332993	-5.095488	1.4075589	3.598361	46.33802	-14.239753	0.7404058	1.673649	67.48651	2.2530301e-05	1.9712662	4.06719	73.330284	-13.8015175	1.0114557	0.00034058507	0.00033614266	0.055396393	0.2615091	8.154306e-05	-6.1328573	0.0022523608	0.00015795387	-3.4791152	0.043194532	-1.9712652	36.620335	399.88806	1199.380448102951
4	0.1	0.0	0.6570254	1.5045309	4.1847396	-2.4539254	1.0274705	2.9311967	11.056558	-2.307126	58.2	135.59824	570.0	0.0	8.833333	24.783169	117.0	0.0	1000.0	1000.0	0.72	0.73333335	6778.0	0.054224	100001.0	-0.6262278	0.49231684	1.7443455	-7.1263223	-0.6262291	0.49234962	1.7638294	-7.219827	1.2939979	3.7129982	38.33392	-22.820742	0.9673405	2.1234508	45.622925	5.7220295e-06	1.9681226	4.3970346	74.98753	-13.143764	1.6287755	0.00057914027	0.00057029794	0.07297703	0.31025732	7.3526586e-05	-6.139512	0.0022422525	0.000616965	-3.609305	0.052047767	-1.9681219	37.01209	384.37375	1584.0703551769257
5	0.33333334	0.0	1.1563275	2.3404021	5.693144	-2.8047507	0.7747519	1.874742	7.4493775	-1.7175126	41.28	68.00501	211.0	0.0	54.333332	119.98677	603.0	0.0	1000.0	1000.0	0.84	0.53333336	7810.0	0.052066666666666664	125001.0	-0.97099406	0.5620329	1.8114377	-11.709154	-0.97099906	0.5620671	1.8758261	-11.889786	1.1780043	3.9340155	53.508804	-44.9738	1.2338152	2.781068	58.308968	1.895116e-08	1.959254	4.376396	79.185104	-11.919647	2.1692533	0.0007901361	0.0007766462	0.09821687	0.37624684	8.773629e-05	-6.0524936	0.0025120343	0.0003113508	-3.2712934	0.06843807	-1.9592535	36.321247	416.6504	2000.5902762413025
6	0.1	0.0	0.92165375	2.094618	6.171622	-2.134325	-0.680124	2.0306857	3.4899943	-4.420408	15.44	33.53694	148.0	0.0	18.133333	69.10027	384.0	0.0	1000.0	1000.0	0.64	0.33333334	8196.0	0.04683428571428572	150001.0	-1.2044885	0.60284936	5.5448995	-16.012247	-1.2044882	0.6028971	5.319277	-16.05539	1.2061576	3.9275346	69.93583	-31.5588	1.3189564	3.099901	70.29421	1e-08	1.9926682	4.5895376	94.85647	-12.447002	2.3060873	0.0009626326	0.0009354606	0.09680521	0.37808436	4.4248074e-05	-6.0395637	0.0025353038	0.00023978292	-4.1689477	0.027910724	-1.9926683	36.23895	400.47803	2400.8794860839844
7	0.2	0.0	-0.19170871	2.4322207	7.766013	-2.77042	-0.46538022	1.2428	2.670866	-2.927664	18.64	33.045277	131.0	0.0	38.133335	136.17456	744.0	0.0	1000.0	1000.0	0.56	0.13333334	8662.0	0.04331	175001.0	-1.2820106	0.5895093	1.9469221	-10.550162	-1.28201	0.589537	2.0331802	-10.539249	1.2304573	3.8702369	54.53342	-35.84603	1.431253	3.6411557	92.448494	1e-08	1.9493353	4.992592	104.434814	-15.094498	2.3701677	0.00083884626	0.0008232097	0.09821991	0.37340567	8.806826e-05	-6.2749395	0.0020546552	1.0181334e-05	-6.4774027	0.0035676965	-1.9493369	36.47766	398.3225	2799.191754579544
8	0.0	0.0	-0.8296129	1.3533902	2.009729	-2.685358	-0.71638757	2.3536894	4.0458136	-5.585277	16.8	44.668556	209.0	0.0	0.8333333	4.4876375	25.0	0.0	1000.0	1000.0	0.2	0.36666667	9082.0	0.040364444444444446	200001.0	-1.2604338	0.575802	2.0392394	-14.662082	-1.2604367	0.5758427	1.4917833	-15.080732	1.1866462	3.8475642	55.94359	-27.84897	1.5104535	3.7733626	92.56266	1e-08	1.9534794	5.2596397	92.259636	-11.990394	2.2229426	0.0007610208	0.00074642163	0.09772463	0.370695	6.8181274e-05	-6.3087063	0.0019585555	3.0127876e-07	-11.923653	6.0258066e-05	-1.953479	35.468323	396.9809	3196.1583790779114
9	0.23333333	0.0	0.9224125	2.5229764	8.918991	-3.3820732	0.6831113	2.2275093	11.114548	-2.1529338	22.2	48.433872	199.0	0.0	21.866667	39.337627	134.0	0.0	1000.0	1000.0	0.76	0.4	9637.0	0.038548	225001.0	-1.3390466	0.63434416	1.3299776	-16.532185	-1.3390443	0.63436747	1.0663762	-17.444366	1.1350331	3.7626145	62.57966	-41.887886	1.6452361	4.013063	126.530556	1e-08	1.9582893	5.100398	91.824615	-12.446605	2.2085214	0.0009228193	0.0009028003	0.09989432	0.36294746	9.820527e-05	-6.2563167	0.0021004141	1.340893e-10	-17.941502	1.8205393e-08	-1.9582886	37.375717	400.17538	3596.365157842636
10	0.2	0.0	0.4057306	2.17858	4.812724	-5.3990507	-0.5665327	1.3278344	3.0236654	-2.8269296	37.96	86.060196	366.0	0.0	17.333334	44.51242	234.0	0.0	1000.0	1000.0	0.8	0.26666668	10586.0	0.038494545454545455	250001.0	-1.3490126	0.6036975	0.7508012	-6.38188	-1.3490146	0.6037234	0.60899127	-6.3858757	1.1796192	3.4622543	54.318226	-47.75853	1.6507853	4.032248	119.7732	1e-08	1.9388775	5.3731165	102.76936	-12.971964	2.0958498	0.000802469	0.00078709016	0.100519046	0.3551561	0.00015317554	-6.3829455	0.001963761	7.69734e-11	-18.05231	1.4453762e-08	-1.9388767	32.885445	394.4791	3990.833456993103
