Epoch	Averagefailure_rate	Stdfailure_rate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	0.16666667	0.0912871	-0.048591	1.7659228	4.1475906	-3.4972208	-0.44360813	1.3986986	4.622936	-5.3269877	16.666666	40.890774	186.0	0.0	33.475	118.20349	897.0	0.0	1000.0	1000.0	0.375	0.15833333	10450.0	0.034833333333333334	275004.0	-1.1608248	0.8958635	0.424356	-6.1550684	-1.1607995	0.8958811	0.11252463	-6.1413307	1.5313191	3.0373766	43.895267	-20.186026	0.79107696	2.1994078	53.191715	9.5367386e-07	1.9317364	4.9648976	76.10814	-11.550619	2.9380503	0.0009645234	0.000970224	0.06074919	0.2668572	0.00038599357	-5.339602	0.0049918946	4.73344e-10	-18.0168	1.4976226e-08	-1.9317364	23.920982	130.48758	1435.513040304184
12	0.25833333	0.06400955	-0.17910118	2.0384471	3.8096936	-3.7143152	-0.66380155	1.851724	6.3901315	-5.486209	18.571428	28.825125	114.0	0.0	26.583334	88.29643	891.0	0.0	1000.0	1000.0	0.42857143	0.24166666	10970.0	0.033753846153846155	300004.0	-1.250334	0.9642092	0.10706487	-7.0838203	-1.2503176	0.9642165	0.07009429	-7.2612505	1.5047275	2.9491467	43.04193	-16.494635	0.814783	2.2227204	43.064026	1.7881378e-06	2.043139	4.738874	75.677986	-11.679878	2.3537629	0.0010892253	0.00109177	0.059797466	0.26317647	-0.00016787501	-5.369921	0.0047117686	8.384936e-10	-18.0168	1.4976223e-08	-2.0431387	23.446884	131.60777	1567.2058675289154
13	0.15833333	0.043301266	-2.2942011	3.2086918	4.8706226	-7.693762	0.41835335	1.6869874	10.606367	-2.8803988	3.875	9.162025	31.0	0.0	29.333334	104.78966	830.0	0.0	1000.0	1000.0	0.41666666	0.44166666	11063.0	0.03160857142857143	325004.0	-1.3069696	0.9317657	0.2808407	-7.231829	-1.3069559	0.9317822	0.21027744	-7.204467	1.5182747	2.751374	42.87952	-17.875416	0.7760294	2.0281732	46.102913	2.28865e-07	2.024004	4.7556005	87.37681	-11.940209	2.3701582	0.0010702409	0.001061859	0.055360936	0.24569333	-0.0001101126	-5.603851	0.0038346518	7.0672446e-10	-18.0168	1.4976226e-08	-2.024004	23.730812	130.31659	1697.4546279907227
14	0.20833334	0.027638538	-0.13632368	1.4786185	3.7512927	-2.3291304	0.7977168	1.5849274	9.193008	-2.4651906	28.666666	99.61747	494.0	0.0	36.616665	120.22278	943.0	0.0	1000.0	1000.0	0.375	0.46666667	11886.0	0.031696	350004.0	-1.3480223	0.9156896	0.0969466	-6.511405	-1.3480157	0.9157006	0.22286558	-6.6274295	1.4908578	2.8483891	43.162918	-15.406223	0.88137555	2.3383229	57.83971	3.1059545e-07	1.9207968	4.851486	78.56384	-11.534465	2.6359649	0.0009917084	0.0009856267	0.058699187	0.25360498	0.0003359783	-5.5645256	0.0039739283	6.8955824e-10	-18.0168	1.4976223e-08	-1.9207968	23.655006	131.48718	1828.9487421512604
15	0.275	0.06821127	-0.5554779	1.4053115	2.9172404	-2.9677017	0.5083222	1.2721834	3.9656706	-2.7867944	15.875	28.810173	109.0	0.0	69.0	172.23787	876.0	0.0	1000.0	1000.0	0.33333334	0.325	12149.0	0.0303725	375004.0	-1.3747405	0.9133203	-0.093783975	-6.6164246	-1.3747258	0.91332036	-0.09347224	-6.544776	1.4818558	2.892822	41.869408	-23.175222	0.9108921	2.5341558	64.29248	1.5008476e-07	1.9876276	5.0313787	72.646835	-9.7142105	2.3999937	0.0009918769	0.0010086136	0.062656686	0.26318714	2.85771e-05	-5.75473	0.0033169873	8.665573e-10	-18.0168	1.4976226e-08	-1.9876276	23.84018	130.07654	1959.0770330429077
16	0.13333334	0.062360954	0.48582667	1.553464	5.3631773	-1.7889055	-0.038117453	1.0889697	3.3318703	-2.6695251	7.5	19.163769	90.0	0.0	35.716667	131.76503	860.0	0.0	1000.0	1000.0	0.42857143	0.15	12342.0	0.02904	400004.0	-1.4368336	0.9198391	-0.08954805	-6.8283396	-1.4368196	0.91984355	-0.090595365	-6.811456	1.4715222	2.7440221	40.299614	-21.511171	0.88577616	2.5082023	64.022934	7.380448e-08	1.9769939	4.961707	78.72797	-12.248922	2.1221395	0.0010202653	0.0010289326	0.06220207	0.25328508	0.00010559508	-5.5080566	0.004083041	9.739173e-10	-18.0168	1.4976223e-08	-1.9769937	23.71552	131.69867	2090.7874693870544
17	0.28333333	0.0372678	0.27286926	1.7224905	5.787285	-2.4829166	0.24877717	1.8081737	5.3167415	-6.471363	61.0	78.226166	279.0	0.0	35.516666	78.67909	507.0	0.0	1000.0	1000.0	0.41666666	0.5083333	13978.0	0.031062222222222224	425004.0	-1.6017104	0.9971406	-0.053491056	-7.6075754	-1.601688	0.99715376	-0.059305668	-7.4527874	1.4383203	2.5564003	42.218094	-25.042162	0.8874113	2.413991	61.869473	2.906773e-07	2.0170152	4.946961	72.66564	-9.899303	2.172773	0.001414268	0.0014121414	0.061998233	0.24260527	-4.4827615e-05	-5.3840146	0.004662253	8.776898e-10	-18.0168	1.4976226e-08	-2.0170155	24.790432	131.97772	2222.8091514110565
18	0.058333337	0.03632416	-0.56601006	1.2047087	2.0704794	-2.808433	-0.12345509	1.4073387	3.7877705	-6.293215	23.5	77.362785	382.0	0.0	20.266666	97.759636	764.0	0.0	1000.0	1000.0	0.20833333	0.225	14370.0	0.030252631578947368	450004.0	-1.6597177	0.9902062	-0.08637285	-6.8790884	-1.6597173	0.9902057	-0.08089918	-7.1786785	1.4268243	2.542877	42.637802	-22.142315	0.9520201	2.5245347	60.800873	1.2649448e-07	1.9515833	5.1719236	74.427155	-10.768167	2.5151749	0.0013591286	0.0013629084	0.064259134	0.24476735	0.00020362998	-5.6772866	0.0034853702	6.884376e-10	-18.0168	1.4976223e-08	-1.9515831	23.744717	132.83676	2355.5116004943848
19	0.108333334	0.03632416	-0.5997002	1.2995465	1.588357	-3.0744123	0.09069278	1.0918221	4.567424	-1.6465704	19.166666	37.81167	135.0	0.0	22.808332	84.3897	482.0	0.0	1000.0	1000.0	0.083333336	0.24166666	14830.0	0.02966	475004.0	-1.631185	0.9720554	-0.08150691	-6.350612	-1.6311742	0.97205186	-0.075458646	-6.2476635	1.4405676	2.7713132	43.042492	-20.668406	0.98018587	2.7386525	69.95678	1.6163384e-08	2.0158546	5.1768417	83.255646	-11.390813	2.749433	0.0011000216	0.0011139518	0.06699467	0.2643797	-3.9762566e-05	-5.554726	0.0039377115	7.7018225e-10	-18.0168	1.4976226e-08	-2.0158548	23.627987	129.5468	2485.1588582992554
20	0.083333336	0.055277083	0.061730452	2.2213213	5.139976	-3.371648	0.024483124	1.270573	4.331214	-2.7460072	15.964286	53.445217	277.0	0.0	19.266666	94.00874	862.0	0.0	1000.0	1000.0	0.42857143	0.24166666	15277.0	0.029099047619047618	500004.0	-1.6077399	0.9673862	-0.10538995	-6.682082	-1.6077209	0.9673975	-0.10958356	-6.730675	1.4481207	2.7312632	40.258	-15.576873	0.97164947	2.703102	69.59223	1e-08	1.9990901	5.1278524	95.24495	-12.751492	2.6561518	0.0011216027	0.0011305036	0.06650886	0.26096824	3.0916267e-06	-5.632887	0.003670885	7.467747e-10	-18.0168	1.4976223e-08	-1.9990901	23.72996	131.96136	2617.0460016727448
