Epoch	Averagefailure_rate	Stdfailure_rate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	0.4	0.0	0.50492907	1.7260013	5.927441	-1.7830193	-0.6484594	3.2210033	3.4436555	-11.769146	63.6	110.145355	530.0	0.0	193.8	298.5826	922.0	0.0	1000.0	1000.0	0.28	0.36666667	1590.0	0.0318	25001.0	3.2315576	1.1014553	6.3492455	-3.0549285	3.2261593	1.1132947	6.310483	-2.841831	1.6567565	2.3123155	38.308395	-6.2925954	0.3076651	0.85803235	35.000023	7.617183e-05	0.701836	3.0786877	61.402897	-11.319752	-5.5807614	0.100185566	0.09089254	0.013685445	0.101148106	0.1344125	-4.9189024	0.057464793	0.008591859	-10.145406	0.012509736	-0.701836	36.80658	400.11432	402.20464634895325
2	0.5	0.0	1.963045	2.5324333	6.9640565	-2.8905017	1.0282941	1.5623778	7.190964	-1.066149	93.88	115.64889	486.0	0.0	145.06667	211.82335	704.0	0.0	1000.0	1000.0	1.0	0.3	3937.0	0.052493333333333336	50001.0	0.9951389	0.5430148	3.1652088	-1.7772601	0.9951458	0.5429962	3.1739547	-1.7694852	1.6563919	3.0528524	37.907894	-10.940672	0.5147437	1.453047	52.805485	1.239769e-05	2.0100417	3.9559176	67.198074	-15.3007345	-0.34500954	0.00018104259	0.00018259043	0.036879208	0.19499798	1.16128085e-05	-6.3408513	0.0018626177	5.5263345e-06	-15.865663	0.00019481572	-2.0100434	36.503387	399.21896	801.4737031459808
3	0.1	0.0	1.2559003	2.5198839	5.9452243	-3.2792935	0.5376624	1.5914949	4.8847756	-3.1639893	47.48	139.4805	716.0	0.0	24.0	111.91872	623.0	0.0	1000.0	1000.0	0.88	0.33333334	5124.0	0.05124	75001.0	-0.06819057	0.39804378	2.2037454	-2.7227478	-0.06818396	0.39801425	2.186273	-2.6430516	1.3024007	4.1374936	44.306427	-17.093794	0.97288173	2.4076543	70.50281	4.56394e-08	1.9316809	4.07572	69.475044	-11.936436	1.4553325	0.0002930135	0.00029956817	0.07508978	0.33311206	0.00018147817	-5.9614964	0.0027250103	0.0040523023	-3.899431	0.14783223	-1.9316809	35.859062	396.82053	1198.202616930008
4	0.16666667	0.0	3.3908837	2.8109868	10.2789135	-2.4215522	0.8238092	1.291363	5.0559735	-1.0186304	57.4	92.990326	349.0	0.0	61.3	166.11385	686.0	0.0	1000.0	1000.0	1.76	0.4	6559.0	0.052472	100001.0	-0.47201163	0.4518352	3.5291417	-8.05797	-0.47200942	0.45179316	3.6024885	-7.930322	1.1884747	4.093562	51.140297	-28.546762	1.1316031	2.6669705	89.273926	1e-08	1.8981842	4.47956	102.581955	-13.437331	1.6148326	0.0004534938	0.0004640805	0.08496999	0.35257468	0.00045223694	-6.0590496	0.002636774	0.0035511686	-4.6552405	0.101204365	-1.8981836	38.090313	384.21582	1582.542676448822
5	0.33333334	0.0	0.553217	2.6592624	7.145549	-3.6715095	1.3072971	3.6337047	11.480912	-3.3733704	35.36	80.622025	348.0	0.0	42.733334	78.35132	306.0	0.0	1000.0	1000.0	0.64	1.2666667	7443.0	0.04962	125001.0	-0.8270892	0.53009725	1.7225165	-7.412431	-0.8270882	0.5300732	1.8092189	-7.5274334	0.9988046	4.2122626	53.983063	-52.161804	1.5442853	3.8978295	146.22168	1e-08	1.9519932	4.669302	107.04008	-13.126949	1.9400417	0.000731996	0.000741224	0.120349646	0.4192666	0.00012882854	-6.0011845	0.0026752856	0.0004951918	-4.2736683	0.043236464	-1.9519936	36.600037	419.54416	2002.022958278656
6	0.1	0.0	1.9803358	2.4262767	6.502895	-3.0615532	-2.3583748	3.8088675	5.0220785	-9.0312	43.2	116.512314	575.0	0.0	39.7	164.43947	911.0	0.0	1000.0	1000.0	1.24	0.36666667	8523.0	0.048702857142857145	150001.0	-1.0237544	0.55978054	1.5924398	-8.598201	-1.0237515	0.5597188	1.5306147	-8.9644	1.199356	3.9582355	58.46759	-42.711727	1.274629	3.1341574	105.764534	1e-08	1.9619554	4.6484833	81.85037	-13.257073	2.1921225	0.0007907247	0.0008223648	0.09277791	0.35733578	8.2893326e-05	-6.099658	0.002387341	0.0005658459	-4.396701	0.05937196	-1.9619552	36.727367	400.14264	2402.1947779655457
7	0.06666667	0.0	1.2515569	2.2405348	7.4614673	-2.1754644	0.97263926	3.2032506	9.338011	-7.203676	21.92	53.285587	260.0	0.0	6.1666665	18.40667	90.0	0.0	1000.0	1000.0	0.84	1.0333333	9071.0	0.045355	175001.0	-1.203751	0.6681361	1.7815866	-11.65004	-1.2037462	0.6680381	1.6560915	-11.866609	1.1513715	4.0197997	44.93565	-39.79631	1.4897447	3.8550563	111.49549	1e-08	1.9536096	4.7851405	97.8799	-11.26093	2.262803	0.0012411193	0.0012982046	0.10924917	0.388559	0.00011881481	-6.1703725	0.0021816893	5.060545e-05	-5.714039	0.0097912215	-1.9536079	36.46077	397.35233	2799.519680738449
8	0.0	0.0	1.2777585	3.8839588	9.763798	-6.934238	0.052445125	4.182662	8.9158745	-12.790866	49.92	95.63469	428.0	0.0	0.76666665	4.1286263	23.0	0.0	1000.0	1000.0	1.28	0.9	10319.0	0.04586222222222222	200001.0	-1.3217025	0.6244345	0.7657229	-13.762865	-1.3217106	0.6243691	0.7046404	-14.159604	1.1946265	3.583993	57.88187	-37.370533	1.5663782	4.1979833	136.37804	1e-08	1.9335283	4.916243	89.6893	-11.236572	2.2493863	0.0012114847	0.001244541	0.097210504	0.3444494	0.000116058305	-6.4051895	0.0017690787	4.0927515e-07	-10.511223	0.00015303193	-1.9335278	37.581696	398.97003	3198.531386613846
9	0.16666667	0.0	1.145436	2.2521548	5.64111	-3.5838957	0.42621192	2.4956071	7.64889	-6.9781666	18.08	35.974346	130.0	0.0	44.133335	130.22307	632.0	0.0	1000.0	1000.0	0.84	0.6	10771.0	0.043084	225001.0	-1.5204599	0.76507545	9.475583	-16.193853	-1.5204583	0.765041	9.48109	-15.710157	1.3590728	3.711282	52.30374	-37.77939	1.4968036	4.3917766	141.56197	1e-08	1.8167344	5.234442	109.18743	-12.740651	2.8058655	0.0018548038	0.0018801626	0.10369918	0.37352082	0.00060990057	-6.134426	0.0025670019	0.0071363933	-6.0235868	0.2199482	-1.8167344	35.32174	395.5213	3593.9941835403442
10	0.06666667	0.0	0.45622453	1.9822384	4.1459928	-3.3101637	-1.6448454	5.9828987	9.879411	-16.856483	10.56	29.598757	143.0	0.0	8.766666	24.046734	96.0	0.0	1000.0	1000.0	0.6	0.8	11035.0	0.04012727272727273	250001.0	-1.6140081	0.8167952	8.876522	-23.951971	-1.6140108	0.8167709	10.686774	-24.416039	1.3722218	3.500068	57.245358	-50.292667	1.5428396	4.9457755	155.2325	1e-08	1.9930382	5.6052012	127.175255	-11.767771	2.5138643	0.0021158406	0.002131322	0.103478104	0.35804453	1.0866977e-05	-6.585988	0.0015019075	3.422629e-05	-7.4411645	0.0045044078	-1.9930394	35.079258	395.40903	3989.455510854721
11	0.06666667	0.0	0.21210293	2.6830986	8.0357065	-3.1897225	0.05086349	2.2519543	5.2387457	-3.1983705	14.84	42.070114	204.0	0.0	3.3	10.103299	38.0	0.0	1000.0	1000.0	0.52	0.6666667	11406.0	0.03802	275001.0	-1.8178356	0.87387645	5.464345	-22.424416	-1.8178456	0.87385243	5.3173766	-22.205751	1.2687615	3.367941	64.673454	-44.375008	1.7017125	5.2219167	177.35876	1e-08	1.9187473	5.4693007	116.64622	-12.340888	2.539535	0.0022655749	0.002297881	0.11422152	0.36814132	0.00014925539	-6.4330773	0.0018584302	1.8242882e-07	-13.170286	1.2283172e-05	-1.9187502	34.823162	395.33044	4384.7476625442505
12	0.16666667	0.0	-0.17825732	2.729487	3.2007883	-7.522666	1.4537332	2.9099271	9.010196	-3.8137727	34.24	74.47054	332.0	0.0	21.966667	46.610786	181.0	0.0	1000.0	1000.0	0.52	1.4	12262.0	0.03772923076923077	300001.0	-1.7412078	0.7824514	-0.008986235	-26.910027	-1.7412094	0.7823881	-0.014507294	-26.246616	1.3461723	2.903226	60.375053	-39.106186	1.5478836	4.665792	122.07012	1e-08	1.9457853	5.52212	131.85959	-15.449083	2.3134918	0.0012723575	0.00134165	0.09073834	0.3030918	7.554343e-05	-6.404816	0.0018875764	4.9651017e-09	-16.56635	5.031276e-07	-1.9457843	33.541565	393.97977	4778.639858007431
13	0.06666667	0.0	1.3765928	3.7281282	12.017461	-3.6410186	0.287717	3.6794298	10.306828	-5.682027	13.28	29.957998	112.0	0.0	6.766667	12.087689	53.0	0.0	1000.0	1000.0	1.16	1.2	12594.0	0.03598285714285714	325001.0	-1.4693435	0.7171089	0.6240246	-32.73016	-1.469339	0.71706235	0.7143457	-32.61926	1.3296646	2.6117935	73.1669	-25.367672	1.6055617	5.5887237	295.9571	1e-08	1.9266609	5.135818	104.57045	-12.076492	2.035939	0.0012019875	0.0012572713	0.07366015	0.24500115	0.00013940383	-6.45212	0.0016606943	4.5365624e-11	-18.032347	1.4745224e-08	-1.9266618	34.849197	394.44266	5173.135304689407
